"Lot_Size","Num_of_Bedrooms","Unit_Type","Electric_Cost","Internet_Access","Fiber_Optic","Heatfuel_Type","Num_of_Rooms","Water_Cost","Built_Year","Ownership_Status","Mortgage_Equity_Status","Fam_Type_Emp_Status","Household_Language","Fam_Type_Household_Status","Children_Age","Residence_Duration","Family_Size","Num_of_Children","Under_18","Over_60","Over_65","Num_of_Workers","Household_Work_Exp","Household_Work_Status","Num_of_Vehicles","Mobile_Broadband","Prediction"
"1",3,"2",70,"1","2","1",6,780,"1","2",NA,"5","3","2","4","6",3,0,"0","1","1",2,"11","10",4,"1","0"
"1",3,"2",240,"3",NA,"1",5,2400,"6","1","3","8","1","3","4","7",3,0,"0","1","1",1,"15","15",2,NA,"0"
"2",2,"3",90,"1","2","2",8,2,"3","1","3","4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"2","0"
"1",1,"2",50,"1","2","1",5,180,"1","1","3",NA,"1","6","4","2",NA,0,"0","0","0",NA,NA,NA,1,"1","0"
"1",4,"2",100,"1","2","1",8,180,"7","1","3","4","1","1","4","6",2,0,"0","2","2",0,"9","9",1,"1","0"
"1",4,"2",60,"1","1","1",7,1400,"5","2",NA,"7","2","3","2","7",3,1,"1","2","0",2,"14","13",1,"2","0"
"1",4,"2",190,"1","2","1",8,840,"6","2",NA,"2","1","1","4","5",2,0,"0","1","1",1,"8","3",3,"2","0"
"1",5,"2",640,"2",NA,"1",14,4100,"7","1","1","5","1","2","2","5",3,2,"1","0","0",1,"10","10",1,NA,"0"
"1",4,"2",140,"1","2","2",6,1200,"5","2",NA,"5","4","2","4","4",3,0,"0","0","0",2,"10","10",2,"2","0"
"1",5,"2",330,"1","1","1",10,720,"8","1","3","2","1","1","2","5",4,1,"1","0","0",2,"3","3",4,"1","1"
"1",3,"2",240,"1","2","1",6,800,"1","1","3","2","1","1","4","4",2,0,"0","2","2",1,"6","3",2,"2","0"
"1",2,"2",40,"1","2","3",7,400,"7","1","3",NA,"1","6","4","3",NA,0,"0","0","0",NA,NA,NA,1,"2","0"
"1",3,"2",110,"1","2","1",9,600,"2","2",NA,NA,"1","4","4","2",NA,0,"0","1","1",NA,NA,NA,2,"2","0"
"1",4,"2",60,"1","1","1",8,1200,"7","1","3","1","1","1","2","4",4,2,"1","0","0",2,"2","1",2,"1","1"
"1",4,"2",500,"1","2","1",8,1100,"4","1","2",NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,2,"2","0"
"1",2,"2",50,"1","2","1",5,520,"1","2",NA,NA,"1","6","4","6",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",4,"2",100,"1","2","6",9,780,"1","1","3","2","2","1","2","4",5,2,"1","0","0",1,"7","3",6,"2","0"
"1",3,"2",130,"1","2","1",8,1200,"3","1","3","3","1","1","4","6",2,0,"0","1","0",2,"5","7",4,"2","0"
"1",4,"2",130,"1","2","3",8,80,"4","2",NA,"8","1","3","4","7",2,0,"0","1","1",1,"15","15",3,"2","0"
"1",4,"2",220,"1","2","1",7,50,"5","1","3","1","1","1","4","5",2,0,"0","0","0",2,"1","1",2,"1","1"
"1",3,"2",450,"3",NA,"1",6,600,"5","2",NA,NA,"1","6","4","3",NA,0,"0","1","1",NA,NA,NA,1,NA,"0"
"1",3,"2",200,"1","2","1",10,150,"9","2",NA,"4","1","1","4","5",2,0,"0","2","2",1,"8","9",2,"1","0"
"2",2,"2",100,"1","2","1",3,600,"4","1","3",NA,"1","4","4","4",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",3,"2",300,"1","1","1",6,2400,"3","1","3","2","3","1","2","4",4,1,"1","0","0",1,"3","3",2,"1","0"
"1",4,"2",200,"1","2","2",8,600,"9","2",NA,"4","1","1","4","5",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",5,"2",210,"1","2","1",8,1000,"1","1","2","1","1","1","2","4",4,2,"1","0","0",3,"1","1",3,"1","1"
"1",3,"2",90,"1","2","1",4,1500,"2","1","2","5","1","2","2","5",2,0,"1","0","0",2,"10","10",2,"2","0"
"1",4,"2",1,"1","1","1",7,1100,"5","1","3",NA,"1","6","4","6",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",3,"2",70,"1","2","1",5,600,"1","1","3","1","4","1","1","3",3,1,"1","0","0",2,"2","1",2,"2","0"
"1",3,"2",70,"2",NA,"1",6,720,"5","1","3","1","4","1","2","3",6,1,"1","0","0",3,"1","1",4,NA,"0"
"1",4,"2",60,"1","2","3",8,50,"8","1","3","1","2","1","4","5",3,0,"0","0","0",3,"1","1",4,"1","0"
"1",4,"2",200,"1","2","1",8,2800,"7","1","3","1","1","1","4","6",2,0,"0","0","0",2,"1","1",4,"1","1"
"1",3,"2",90,"1","2","1",6,840,"3","1","3",NA,"1","4","4","5",NA,0,"0","0","0",NA,NA,NA,1,"1","0"
"2",3,"2",640,"1","2","3",7,600,"4","1","1","1","1","1","2","5",4,2,"1","0","0",2,"2","1",1,"1","0"
"1",3,"1",300,"1","2","2",4,600,"6","1","3","7","1","3","2","5",4,2,"1","0","0",2,"13","13",1,"1","0"
"1",4,"2",150,"1","2","1",9,50,"3","1","3","4","3","1","4","5",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",4,"2",120,"1","2","1",8,700,"7","1","3","1","4","1","1","2",3,1,"1","0","0",2,"1","1",2,"2","1"
"1",4,"2",60,"1","2","1",6,800,"3","1","3","8","1","3","4","4",2,0,"0","0","0",0,"15","15",3,"1","0"
"1",4,"2",240,"1","2","3",8,1600,"5","1","3","1","1","1","4","6",5,0,"0","0","0",3,"4","1",6,"1","1"
"1",4,"2",50,"1","2","1",7,110,"6","2",NA,NA,"1","6","4","4",NA,0,"0","1","0",NA,NA,NA,1,"1","0"
"1",3,"2",200,"1","2","1",6,1500,"5","2",NA,"4","1","1","4","7",3,0,"0","2","2",1,"9","9",3,"1","0"
"1",3,"3",130,"1","2","1",4,1400,"9","1","3",NA,"2","1","4","1",2,0,"0","0","0",2,"1",NA,2,"1","0"
"1",3,"2",110,"1","1","1",6,4100,"1","1","3","2","1","1","4","7",2,0,"0","0","0",2,"4","3",3,"2","0"
"1",3,"2",100,"1","2","1",6,600,"6","2",NA,"4","1","1","4","3",2,0,"0","1","0",0,"9","9",2,"2","0"
"1",3,"2",40,"1","2","1",6,70,"5","2",NA,"1","4","1","2","6",3,1,"1","0","0",2,"1","1",3,"2","0"
"1",3,"2",100,"1","2","1",7,1000,"5","2",NA,"4","1","1","4","7",2,0,"0","2","2",0,"9","9",1,"2","0"
"1",3,"2",150,"1","2","1",4,50,"9","2",NA,"4","4","1","4","4",2,0,"0","1","0",1,"6","9",2,"2","0"
"1",3,"2",190,"1","2","2",8,830,"4","1","3","2","1","1","1","1",3,1,"1","0","0",1,"3","3",2,"1","0"
"1",3,"2",30,"1","2","1",6,2000,"7","1","3","4","1","1","4","5",2,0,"0","1","1",1,"8","9",3,"2","0"
"1",4,"2",60,"3",NA,"3",9,2400,"3","2",NA,NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,0,NA,"0"
"1",4,"2",60,"1","2","1",7,50,"16","1","3","6","1","2","1","3",2,1,"1","0","0",0,"12","12",2,"1","0"
"1",3,"2",60,"1","1","1",6,1200,"8","1","3","7","1","3","4","3",2,0,"0","0","0",2,"13","13",1,"1","0"
"1",4,"2",210,"1","2","1",9,860,"7","1","2","1","3","1","4","6",2,0,"0","0","0",2,"1","1",2,"1","1"
"1",0,"1",20,"1","2","1",1,2,"4","2",NA,"2","2","1","3","5",5,3,"1","0","0",1,"3","3",2,"2","0"
"1",3,"2",50,"1","2","1",5,100,"3","2",NA,NA,"1","6","4","6",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",4,"2",130,"1","2","3",7,110,"3","2",NA,"2","2","1","3","5",5,2,"1","1","0",2,"7","3",3,"1","0"
"3",3,"2",290,"1","2","2",7,2,"6","2",NA,"3","1","1","4","7",2,0,"0","2","2",1,"8","7",2,"1","0"
"1",4,"2",340,"1","2","1",7,1000,"2","1","2","1","1","1","3","4",5,3,"1","0","0",2,"2","1",2,"1","1"
"2",4,"2",50,"1","2","2",8,2,"7","1","3","2","1","1","4","6",2,0,"0","1","0",2,"2","3",3,"1","0"
"1",2,"2",60,"1","2","1",5,600,"1","1","3","1","2","1","3","2",4,2,"1","0","0",2,"2","1",2,"2","0"
"1",3,"1",210,"1","2","2",4,1200,"4","2",NA,"4","1","1","4","6",2,0,"0","1","0",0,"9","9",1,"2","0"
"1",3,"2",170,"1","2","3",5,500,"3","2",NA,"1","2","1","4","5",5,0,"0","1","0",3,"4","1",3,"1","0"
"1",4,"2",420,"1","2","1",8,800,"11","1","3","2","4","1","3","4",6,2,"1","0","0",2,"3","3",4,"2","0"
"1",3,"2",100,"1","2","1",6,300,"4","1","3","5","2","2","2","3",3,2,"1","0","0",1,"10","10",3,"1","0"
"1",3,"2",80,"1","2","1",5,600,"4","2",NA,"1","2","1","4","5",5,0,"0","1","1",3,"4","1",4,"1","0"
"1",5,"2",200,"1","1","1",10,1300,"5","1","3","1","1","1","4","7",3,0,"0","2","1",2,"2","1",2,"1","1"
"1",3,"2",100,"1","2","1",7,40,"6","2",NA,NA,"2","5","4","5",NA,0,"0","2","1",NA,NA,NA,3,"2","0"
"1",4,"2",110,"1","1","1",8,70,"7","1","3","1","1","1","4","5",3,0,"0","1","0",2,"1","1",3,"2","1"
"1",3,"2",50,"1","2","1",5,800,"6","1","3","1","1","1","4","5",2,0,"0","1","0",2,"2","1",3,"2","0"
"1",2,"2",60,"1","2","1",7,2900,"1","1","3","4","4","1","4","7",2,0,"0","2","2",0,"9","9",1,"2","0"
"1",5,"2",240,"1","2","3",11,1200,"9","1","3","1","1","1","2","4",5,3,"1","0","0",2,"2","1",2,"2","1"
"1",3,"2",90,"1","2","2",6,500,"5","1","3","1","1","1","2","4",5,3,"1","0","0",2,"2","1",2,"1","0"
"1",5,"2",70,"1","2","2",9,2,"1","2",NA,"4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",4,"2",300,"1","2","1",7,30,"16","1","3","1","1","1","4","3",2,0,"0","0","0",2,"1","1",2,"2","1"
"1",4,"2",100,"1","2","1",9,2000,"7","1","3","2","4","1","4","5",2,0,"0","2","2",1,"3","3",2,"1","0"
"1",4,"2",120,"1","2","1",6,690,"9","1","3","1","1","1","1","3",4,2,"1","0","0",1,"3","2",2,"1","0"
"1",3,"2",280,"1","2","1",6,700,"7","1","3","1","3","1","2","5",3,1,"1","0","0",2,"4","1",2,"2","0"
"1",3,"2",60,"1","2","3",6,570,"5","1","3",NA,"1","6","4","4",NA,0,"0","0","0",NA,NA,NA,1,"1","0"
"1",3,"2",130,"1","2","9",5,2400,"3","1","3","7","2","3","2","5",3,1,"1","0","0",2,"13","13",2,"2","0"
"1",5,"2",410,"1","2","1",9,1500,"6","1","3","2","4","1","4","6",2,0,"0","2","2",1,"8","6",3,"1","0"
"1",4,"2",300,"1","2","1",8,40,"8","1","3","1","1","1","4","5",4,0,"0","0","0",3,"5","1",4,"1","0"
"1",4,"2",30,"1","2","1",7,800,"5","1","3","2","4","1","2","1",4,2,"1","0","0",1,"7","3",2,"2","0"
"1",5,"2",270,"1","2","1",8,470,"4","1","2","1","1","1","4","6",3,0,"0","0","0",3,"2","1",4,"1","1"
"1",3,"2",140,"1","2","1",6,120,"4","1","3","2","1","1","2","5",3,1,"1","0","0",2,"2","3",2,"1","0"
"1",4,"2",160,"1","2","3",7,390,"6","1","3",NA,"2","4","4","1",NA,0,"0","0","0",NA,NA,NA,1,"2","0"
"1",4,"2",50,"1","2","1",7,300,"3","1","3","4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",3,"2",70,"1","2","1",6,1800,"1","1","3","4","1","1","4","7",3,0,"0","2","0",1,"9","9",2,"2","0"
"1",3,"2",400,"1","2","1",5,400,"1","1","3",NA,"1","6","4","4",NA,0,"0","0","0",NA,NA,NA,1,"2","0"
"2",3,"2",180,"1","1","1",7,1500,"4","1","3","3","1","1","4","4",2,0,"0","2","2",1,"7","7",2,"1","0"
"1",3,"2",60,"1","1","1",6,470,"7","1","2",NA,"1","4","4","5",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",4,"2",100,"1","2","1",6,1500,"15","1","3","1","1","1","4","3",2,0,"0","0","0",2,"1","1",2,"1","0"
"2",4,"2",230,"1","2","2",11,2500,"10","1","3","1","1","1","4","4",3,0,"0","0","0",3,"1","1",3,"1","1"
"1",4,"2",300,"1","2","1",5,1100,"4","1","2","2","1","1","4","7",3,0,"0","2","0",1,"3","3",2,"2","0"
"1",4,"2",200,"1","2","1",10,200,"3","1","3","4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",3,"2",100,"1","2","1",6,800,"3","1","3","1","1","1","4","5",2,0,"0","0","0",2,"1","1",2,"2","0"
"1",4,"2",110,"1","2","1",6,1800,"5","1","3","1","3","1","4","4",3,0,"0","1","1",2,"5","1",2,"1","0"
"1",4,"2",150,"1","2","1",6,840,"7","1","3","1","3","1","2","6",4,2,"1","0","0",2,"1","1",2,"1","1"
"1",3,"2",100,"3",NA,"4",10,720,"3","2",NA,NA,"1","4","4","7",NA,0,"0","1","1",NA,NA,NA,2,NA,"0"
"1",3,"2",120,"1","2","1",6,1200,"2","2",NA,"3","4","1","4","6",3,0,"0","1","1",2,"8","7",3,"1","0"
"1",4,"2",30,"2",NA,"9",6,1300,"5","1","3","2","2","1","3","3",6,4,"1","0","0",1,"3","3",2,NA,"0"
"1",3,"2",140,"1","2","3",6,900,"5","1","3","4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",3,"2",110,"3",NA,"3",4,1200,"3","2",NA,NA,"3","5","4","6",NA,0,"0","2","2",NA,NA,NA,1,NA,"0"
"2",4,"2",140,"1","2","7",7,720,"3","1","2","2","1","1","3","4",4,2,"1","0","0",1,"3","3",1,"2","0"
"1",4,"2",70,"3",NA,"1",6,900,"10","2",NA,NA,"2","7","4","3",NA,0,"0","0","0",NA,NA,NA,2,NA,"0"
"1",3,"2",230,"1","2","1",8,70,"4","2",NA,NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,2,"1","0"
"1",1,"2",250,"1","2","3",2,1400,"7","1","2","2","4","1","4","4",2,0,"0","0","0",1,"3","3",1,"1","0"
"2",5,"2",450,"1","2","1",10,2500,"8","1","3","2","1","1","4","4",2,0,"0","1","1",1,"6","6",2,"1","1"
"1",3,"2",280,"1","2","1",6,50,"4","2",NA,"3","4","1","4","7",4,0,"0","2","2",2,"7","7",5,"1","0"
"1",3,"2",50,"1","2","1",5,1300,"1","1","3",NA,"1","4","4","5",NA,0,"0","0","0",NA,NA,NA,3,"1","0"
"1",4,"2",130,"1","2","1",14,600,"1","1","2","1","2","1","2","3",4,2,"1","0","0",2,"4","1",2,"1","1"
"1",4,"2",70,"1","2","1",8,120,"3","2",NA,"7","2","3","4","5",3,0,"0","1","0",1,"15","14",2,"1","0"
"1",4,"2",80,"1","1","3",5,960,"2","2",NA,"2","2","1","3","5",8,3,"1","0","0",3,"3","3",4,"1","0"
"1",4,"2",200,"1","2","1",7,600,"4","1","3","1","1","1","1","3",4,2,"1","0","0",2,"5","1",3,"1","0"
"1",4,"2",250,"1","1","1",9,1200,"6","1","3","6","1","2","4","6",2,0,"0","1","1",0,"12","12",3,"1","0"
"1",2,"1",100,"2",NA,"1",4,1,"6","2",NA,NA,"1","7","4","5",NA,0,"0","1","0",NA,NA,NA,0,NA,"0"
"1",3,"2",80,"1","1","1",5,1500,"5","1","3","2","1","1","1","2",3,1,"1","0","0",1,"3","3",2,"1","0"
"1",4,"2",200,"1","2","1",8,720,"5","1","3","1","1","1","2","4",4,2,"1","0","0",2,"5","1",2,"2","0"
"1",4,"2",200,"1","2","1",7,1800,"2","1","3","1","1","1","1","7",4,1,"1","0","0",2,"2","1",4,"2","0"
"1",5,"2",50,"3",NA,"1",14,490,"9","1","2",NA,"1","6","4","4",NA,0,"0","1","1",NA,NA,NA,1,NA,"0"
"1",3,"1",160,"1","2","1",5,60,"8","2",NA,NA,"1","4","4","4",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",3,"2",150,"1","2","1",4,800,"3","1","3","4","2","1","4","6",2,0,"0","2","2",0,"9","9",3,"2","0"
"1",2,"2",150,"1","1","3",5,660,"5","2",NA,"4","1","1","4","7",2,0,"0","2","0",0,"9","9",3,"1","0"
"1",3,"2",60,"1","2","1",6,1200,"3","2",NA,NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",4,"2",260,"1","2","1",8,60,"4","1","3","7","1","3","2","6",3,1,"1","0","0",2,"13","13",3,"2","0"
"2",3,"2",70,"1","1","3",5,960,"3","1","3","1","1","1","4","3",2,0,"0","0","0",2,"2","1",2,"1","0"
"1",4,"2",250,"1","2","1",7,1200,"5","1","2","4","1","1","4","6",2,0,"0","2","2",0,"9","9",1,"2","0"
"1",3,"2",140,"3",NA,"1",5,80,"1","2",NA,"4","1","1","4","7",2,0,"0","2","0",0,"9","9",1,NA,"0"
"2",4,"3",90,"1","2","1",10,50,"16","1","3","2","4","1","4","1",2,0,"0","2","1",1,"3","3",2,"2","0"
"1",3,"2",70,"1","2","1",5,1000,"3","1","3",NA,"2","5","1","6",NA,0,"1","1","0",NA,NA,NA,4,"1","0"
"1",3,"2",80,"1","2","1",5,50,"2","1","3","1","1","1","1","4",4,2,"1","0","0",2,"2","1",2,"1","0"
"1",4,"2",70,"1","2","1",6,80,"10","1","3","1","4","1","2","3",4,2,"1","0","0",2,"1","1",3,"2","0"
"1",3,"2",130,"1","1","1",5,560,"7","2",NA,NA,"1","4","4","5",NA,0,"0","0","0",NA,NA,NA,4,"2","0"
"1",4,"2",220,"1","2","1",7,2,"4","1","3","1","1","1","2","5",3,1,"1","0","0",3,"1","1",4,"1","1"
"1",4,"2",150,"1","2","1",6,60,"6","1","2","1","2","1","3","5",7,5,"1","0","0",2,"2","1",2,"1","0"
"1",3,"2",40,"1","2","1",5,150,"3","1","2","3","1","1","4","6",2,0,"0","1","0",1,"6","7",3,"1","0"
"1",3,"1",100,"3",NA,"1",6,180,"5","2",NA,NA,"1","4","4","3",NA,0,"0","1","0",NA,NA,NA,2,NA,"0"
"3",3,"2",120,"3",NA,"3",7,2,"5","2",NA,NA,"1","4","4","7",NA,0,"0","0","0",NA,NA,NA,3,NA,"0"
"1",2,"2",100,"3",NA,"3",4,1200,"5","2",NA,"4","3","1","4","7",2,0,"0","2","2",0,"9","9",1,NA,"0"
"1",3,"2",160,"1","2","1",6,380,"4","1","3",NA,"1","6","4","4",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",4,"2",370,"1","2","1",6,600,"2","2",NA,"4","2","1","2","7",4,1,"1","1","1",0,"9","9",2,"1","0"
"1",5,"2",80,"1","2","1",9,1000,"7","1","2","1","4","1","4","6",2,0,"0","0","0",2,"1","1",4,"1","1"
"1",4,"2",200,"1","1","1",6,60,"3","2",NA,NA,"2","6","4","7",NA,0,"0","1","1",NA,NA,NA,5,"2","0"
"1",5,"2",80,"1","2","1",14,720,"3","1","3","2","2","1","4","6",6,0,"0","2","0",3,"3","3",4,"2","0"
"1",2,"2",330,"1","2","1",7,1200,"1","2",NA,"1","1","1","2","5",3,0,"1","0","0",3,"5","4",2,"2","0"
"1",2,"3",140,"1","2","3",4,1,"5","2",NA,"8","1","3","4","6",2,0,"0","2","1",0,"15","15",2,"2","0"
"1",3,"2",30,"1","2","1",6,1400,"4","1","3","3","4","1","3","4",4,2,"1","0","0",2,"4","7",2,"2","0"
"1",3,"2",2,"1","2","1",6,2,"4","2",NA,"4","1","1","4","7",2,0,"0","2","2",0,"9","9",3,"1","0"
"1",3,"2",320,"1","2","1",7,350,"7","1","3","1","1","1","2","5",4,2,"1","0","0",2,"4","1",2,"2","0"
"1",4,"2",80,"2",NA,"3",7,600,"6","1","2","7","1","3","2","6",3,1,"1","0","0",1,"14","13",1,NA,"0"
"1",2,"2",80,"1","2","1",7,80,"2","1","3","5","1","2","1","3",3,2,"1","0","0",1,"10","10",2,"2","0"
"1",3,"2",50,"1","2","1",6,140,"16","1","3","4","1","1","4","3",2,0,"0","2","2",0,"9","9",3,"2","0"
"1",4,"2",230,"1","1","1",8,1000,"6","1","3","7","1","3","2","5",2,1,"1","0","0",1,"13","13",3,"1","0"
"1",3,"2",200,"1","2","1",7,900,"5","1","3","2","1","1","4","3",2,0,"0","1","0",1,"7","3",1,"2","0"
"2",4,"2",100,"1","2","1",8,1800,"3","1","3","2","4","1","2","3",4,2,"1","0","0",1,"3","3",2,"1","0"
"1",3,"2",30,"1","2","1",5,700,"7","1","3","4","4","1","4","3",2,0,"0","0","0",0,"9","9",2,"2","0"
"2",3,"2",100,"1","2","2",6,2,"7","1","3",NA,"1","6","4","5",NA,0,"0","1","1",NA,NA,NA,3,"1","0"
"1",3,"2",80,"1","2","1",5,360,"4","1","3",NA,"1","4","4","7",NA,0,"0","0","0",NA,NA,NA,1,"2","0"
"1",2,"2",80,"1","2","3",9,130,"2","1","2","1","1","1","4","5",2,0,"0","0","0",2,"1","1",2,"2","0"
"1",3,"2",100,"1","2","1",8,100,"5","1","3","1","1","1","3","1",5,3,"1","0","0",2,"1","1",2,"2","1"
"1",3,"2",50,"1","2","1",6,80,"3","1","3",NA,"4","6","4","3",NA,0,"0","0","0",NA,NA,NA,1,"1","0"
"1",5,"2",250,"1","2","3",8,1200,"5","1","3","1","1","1","4","2",4,0,"0","0","0",3,"1","1",4,"1","1"
"1",2,"2",100,"1","2","1",4,700,"6","1","3","8","4","3","4","4",2,0,"0","1","1",1,"15","15",2,"2","0"
"1",2,"2",100,"1","2","1",4,200,"1","1","3","1","2","1","4","4",2,0,"0","0","0",2,"1","1",4,"1","0"
"2",2,"2",100,"1","2","2",3,2,"5","1","3","1","1","1","1","1",4,2,"1","0","0",2,"1","1",2,"1","0"
"1",4,"2",130,"1","2","1",8,70,"6","1","3","7","1","3","2","5",6,4,"1","1","0",2,"14","13",2,"2","0"
"1",2,"1",150,"1","2","1",5,560,"4","2",NA,NA,"1","6","4","5",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",3,"2",90,"1","1","1",6,820,"3","1","2","1","1","1","4","5",2,0,"0","1","1",2,"1","1",2,"1","0"
"1",3,"2",100,"1","2","1",8,650,"4","1","3",NA,"1","6","4","5",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",3,"2",70,"1","2","1",5,80,"4","2",NA,"4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"2","0"
"1",7,"2",400,"1","2","1",14,3000,"1","1","3","1","2","1","4","7",2,0,"0","1","0",2,"2","1",2,"2","1"
"1",3,"1",250,"1","2","9",5,130,"9","1","3","2","2","1","2","4",5,3,"1","0","0",1,"3","3",1,"2","0"
"1",5,"2",640,"1","2","1",10,150,"7","1","3","7","2","3","4","4",2,0,"0","2","2",1,"13","13",1,"1","0"
"1",3,"2",30,"3",NA,"1",7,1100,"11","1","3",NA,"1","4","4","4",NA,0,"0","0","0",NA,NA,NA,1,NA,"0"
"1",2,"2",40,"1","2","1",5,850,"1","1","3","5","2","2","2","4",4,3,"1","0","0",1,"10","10",2,"1","0"
"1",3,"2",20,"3",NA,"1",7,610,"5","2",NA,"4","2","1","4","7",2,0,"0","2","2",0,"9","9",2,NA,"0"
"1",4,"2",30,"1","2","1",6,1800,"13","1","3","1","4","1","3","4",5,3,"1","0","0",1,"3","4",3,"1","0"
"1",2,"1",130,"1","2","1",5,750,"5","1","3","1","1","1","4","3",2,0,"0","1","1",2,"2","1",2,"2","0"
"1",3,"2",200,"1","2","1",7,500,"7","1","2",NA,"1","4","4","5",NA,0,"0","1","1",NA,NA,NA,3,"1","0"
"1",3,"2",40,"1","2","3",4,40,"3","1","2","5","1","2","2","5",2,1,"1","0","0",1,"10","10",1,"1","0"
"1",3,"2",40,"1","1","1",6,600,"3","1","3","3","3","1","4","6",3,0,"0","2","0",1,"7","7",2,"1","0"
"1",4,"2",100,"1","2","3",6,2100,"3","1","3","1","1","1","1","3",3,1,"1","0","0",2,"4","1",2,"1","0"
"2",4,"1",140,"3",NA,"4",7,2,"5","2",NA,"8","1","3","4","7",4,0,"0","1","1",0,"15","15",5,NA,"0"
"1",3,"2",50,"1","2","1",8,80,"6","1","3","3","4","1","4","6",2,0,"0","1","0",2,"4","7",3,"1","0"
"1",3,"2",170,"1","2","1",6,1700,"8","1","3","8","1","3","1","5",2,1,"1","0","0",0,"15","15",2,"1","0"
"1",2,"1",30,"1","2","1",5,230,"6","2",NA,NA,"1","6","4","5",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",4,"2",70,"1","2","1",7,670,"7","2",NA,"4","1","1","4","5",2,0,"0","2","2",1,"8","9",3,"2","0"
"1",3,"2",110,"1","2","1",8,480,"1","1","3","1","1","1","4","6",5,0,"0","0","0",3,"1","1",6,"1","1"
"1",4,"2",70,"1","2","1",8,1800,"7","1","3","4","3","1","4","6",3,0,"0","0","0",1,"9","9",3,"1","0"
"2",3,"2",450,"1","2","1",7,4100,"3","2",NA,NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,4,"1","0"
"1",3,"1",150,"1","2","3",5,1,"6","1","3","3","2","1","4","5",3,0,"0","2","1",2,"7","7",3,"1","0"
"3",5,"2",280,"1","2","1",8,2,"3","1","3","2","1","1","2","4",4,2,"1","0","0",1,"3","3",2,"1","0"
"1",3,"2",70,"1","2","1",5,480,"4","2",NA,"4","3","1","4","4",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",3,"2",10,"1","2","1",5,700,"4","2",NA,"4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",3,"3",350,"1","2","1",6,1,"5","1","3","1","1","1","1","2",3,1,"1","0","0",2,"4","1",2,"2","0"
"1",2,"2",60,"1","2","3",4,1200,"6","1","3","2","2","1","4","6",4,0,"0","1","0",3,"7","3",2,"2","0"
"1",3,"2",200,"1","2","1",5,540,"3","1","3","2","2","1","2","5",5,3,"1","0","0",2,"2","3",2,"1","0"
"1",3,"2",160,"1","2","1",6,100,"4","1","3","5","1","2","4","3",2,0,"0","0","0",2,"10","10",2,"2","0"
"2",2,"2",60,"1","2","3",6,90,"3","1","2","7","2","3","4","7",2,0,"0","0","0",2,"13","13",2,"1","0"
"1",3,"2",300,"1","1","3",7,10,"1","1","3","7","2","3","3","5",3,2,"1","0","0",1,"13","13",1,"1","0"
"1",2,"2",60,"3",NA,"3",5,900,"2","2",NA,"6","2","2","4","7",2,0,"0","2","2",0,"12","12",2,NA,"0"
"1",3,"2",30,"1","1","1",5,510,"3","2",NA,"3","1","1","4","6",2,0,"0","2","2",1,"7","7",2,"2","0"
"1",3,"2",100,"1","2","1",4,1800,"6","1","3",NA,"1","6","4","3",NA,0,"0","0","0",NA,NA,NA,2,"2","0"
"1",3,"2",100,"1","2","1",5,980,"3","2",NA,"4","1","1","4","7",2,0,"0","2","2",0,"9","9",1,"2","0"
"1",3,"2",30,"1","2","1",6,1200,"4","1","3","7","1","3","4","4",2,0,"0","0","0",2,"13","13",2,"2","0"
"1",3,"2",430,"1","2","3",10,1200,"6","1","3","3","1","1","2","2",3,1,"1","0","0",1,"3","7",2,"1","0"
"1",3,"2",150,"1","2","1",5,600,"7","2",NA,NA,"1","6","4","4",NA,0,"0","0","0",NA,NA,NA,1,"1","0"
"1",3,"2",350,"1","2","1",6,1000,"6","1","3","1","1","1","4","3",2,0,"0","1","0",2,"1","1",2,"1","0"
"2",2,"2",30,"1","1","1",5,90,"4","1","3",NA,"1","7","4","4",NA,0,"0","2","2",NA,NA,NA,1,"1","0"
